Message Name,mToken,Field Number (fNum),Field Name (name),Field Type (fType),Enum Set (eSet),Field Description (desc),Data Products
LiveImpliedQuote,OptAnalytics,157,th,Float,,option theta,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,160,ve,Float,,option vega,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,163,va,Float,,option vanna,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,166,vo,Float,,option volga,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,169,ro,Float,,option rho,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,172,ph,Float,,option phi,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,175,deDecay,Float,,option delta decay,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,178,up50,Float,,underlier up 50% slide,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,181,dn50,Float,,underlier dn 50% slide,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,184,up15,Float,,underlier up 15% slide,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,187,dn15,Float,,underlier dn 15% slide,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,190,up06,Float,,underlier up 6% slide,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,193,dn08,Float,,underlier dn 8% slide,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,196,synSpot,Double,,Synthetic spot price (market-derived spot when the underlying is not a traded instrument),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,199,priceType,Enum,"None,Equity,Future",Equity or Future (Black76) pricing framework;  if Future then uPrc is the forwardUPrc and sdiv = rate,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,202,calcErr,Enum,"None,InvalidUPrc,InvalidSVol,PricingError",option pricing calculation error (if any),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,205,calcSource,Enum,"None,Tick,Loop",,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,208,srcTimestamp,Long,,OPRA source timestamp (nanoseconds since epoch); will be zero if calcSource != Tick,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,211,netTimestamp,Long,,SR timestamp @ publish time,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,214,timestamp,DateTime,,,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteDisp,OptAnalytics,10,okey,OptionKey,,,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteDisp,OptAnalytics,100,ticker,TickerKey,,SR Ticker that this option rolls up to (LiveImpliedQuote),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteDisp,OptAnalytics,101,uPrc,Float,,underlier price (usually mid-market) LiveImpliedQuote,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteDisp,OptAnalytics,102,clsBidIv,Float,,OptionCloseMark.bidIV,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteDisp,OptAnalytics,103,clsAskIv,Float,,OptionCloseMark.AskIv,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteDisp,OptAnalytics,104,clsMidVol,Float,,,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteDisp,OptAnalytics,105,clsSrVol,Float,,Previous close SrVol from OptionCloseMark.srVol,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteDisp,OptAnalytics,106,oBidIv,Float,,volatility implied by option bid price from LiveImpliedQuote,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteDisp,OptAnalytics,107,oAskIv,Float,,volatility implied by option ask price from LiveImpliedQuote,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteDisp,OptAnalytics,108,midVol,Float,,"mid-market vol, if oBidIv is -1, midVol is AVG(0, oAskIv), if oAskIv is -1, midVol is 0","EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteDisp,OptAnalytics,109,sVol,Float,,option surface volatility (SR surface fit model) from LiveImpliedQuote,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteDisp,OptAnalytics,110,sPrc,Float,,"option surface price; ie. PRICE(sVol, uPrc + uOff, years, rate, sDiv, {discrete dividends, if any}) from LiveImpliedQuote","EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteDisp,OptAnalytics,111,prtPrc,Float,,Last Print Price (from OptionPrint),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteDisp,OptAnalytics,112,surfVol,Float,,SR surface volatility from OptionPrintSet (at time of print),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteDisp,OptAnalytics,113,prtVolume,Int,,day print volume in contracts from OptionPrintSet,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteDisp,OptAnalytics,114,prtIV,Float,,print implied volatility,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteDisp,OptAnalytics,115,de,Float,,option delta,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteDisp,OptAnalytics,116,ga,Float,,option gamma,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteDisp,OptAnalytics,117,th,Float,,option theta,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteDisp,OptAnalytics,118,ve,Float,,option vega,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteDisp,OptAnalytics,119,va,Float,,option vanna,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteDisp,OptAnalytics,120,vo,Float,,option volga,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteDisp,OptAnalytics,121,ro,Float,,option rho,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteDisp,OptAnalytics,122,ph,Float,,option phi,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteDisp,OptAnalytics,123,calcErr,Enum,"None,InvalidUPrc,InvalidSVol,PricingError",option pricing calculation error (if any),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteDisp,OptAnalytics,124,calcSource,Enum,"None,Tick,Loop",,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteDisp,OptAnalytics,125,srcTimestamp,Long,,OPRA source timestamp (nanoseconds since epoch); will be zero if calcSource != Tick,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteDisp,OptAnalytics,126,netTimestamp,Long,,SR timestamp @ publish time,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteDisp,OptAnalytics,127,timestamp,DateTime,,,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,10,okey,OptionKey,,,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,100,ticker,TickerKey,,,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,103,uprc,Float,,underlier price (usually mid-market),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,106,years,Float,,years to expiration,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,109,rate,Float,,interest rate,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,112,sdiv,Float,,sdiv (stock dividend) rate,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,115,ddiv,Float,,cumulative discrete dividend values,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,118,obid,Float,,option bid price,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,121,oask,Float,,option ask price,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,124,obiv,Float,,volatility implied by option bid price,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,127,oaiv,Float,,volatility implied by option ask price,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,130,satm,Float,,option atm volatility (from SR surface),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,133,smny,Float,,option moneyness,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,136,svol,Float,,option surface volatility,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,139,sprc,Float,,option surface price,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,142,smrk,Float,,option surface price (w/bounding rules),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,145,veSlope,Float,,veSlope = dVol / dUprc (assuming vol @ xAxis = 0 remains constant);hedgeDelta = (de + ve * 100 * veSlope) if hedging with this assumption,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,148,de,Float,,option delta,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,151,ga,Float,,option gamma,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,154,th,Float,,option theta,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,157,ve,Float,,option vega,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,160,va,Float,,option vanna,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,163,vo,Float,,option volga,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,166,ro,Float,,option rho,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,169,ph,Float,,option phi,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,172,deDecay,Float,,option delta decay,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,175,up50,Float,,underlier up 50% slide,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,178,dn50,Float,,underlier dn 50% slide,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,181,up15,Float,,underlier up 15% slide,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,184,dn15,Float,,underlier dn 15% slide,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,187,up06,Float,,underlier up 6% slide,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,190,dn08,Float,,underlier dn 8% slide,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,193,synSpot,Double,,Synthetic spot price (market-derived spot when the underlying is not a traded instrument),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,196,priceType,Enum,"None,Equity,Future",Equity or Future (Black76) pricing framework;  if Future then uPrc is the forwardUPrc and sdiv = rate,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,199,calcErr,String,,option pricing error (if any),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,202,calcSource,Enum,"None,Tick,Loop",,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,205,uPrcAdjResult,Enum,"None,OK,InvalidUPrc,UPrcRangeErr,OtherError,NullOption,StaleUPrc",,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuoteAdj,OptAnalytics,208,timestamp,DateTime,,,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveIVarSwapFixedTerm,SRMLinkAnalytics,10,ticker,TickerKey,,,
LiveIVarSwapFixedTerm,SRMLinkAnalytics,11,surfaceType,Enum,"None,Live,PrevDay,Interp,Close,Test",,
LiveIVarSwapFixedTerm,SRMLinkAnalytics,100,iVarSwap_5d,Float,,Interpolated 5 day integrated surface variance,
LiveIVarSwapFixedTerm,SRMLinkAnalytics,103,iVarSwap_10d,Float,,Interpolated 10 day integrated surface variance,
LiveIVarSwapFixedTerm,SRMLinkAnalytics,106,iVarSwap_21d,Float,,Interpolated 21 day integrated surface variance,
LiveIVarSwapFixedTerm,SRMLinkAnalytics,109,iVarSwap_42d,Float,,Interpolated 42 day integrated surface variance,
LiveIVarSwapFixedTerm,SRMLinkAnalytics,112,iVarSwap_63d,Float,,Interpolated 63 day integrated surface variance,
LiveIVarSwapFixedTerm,SRMLinkAnalytics,115,iVarSwap_84d,Float,,Interpolated 84 day integrated surface variance,
LiveIVarSwapFixedTerm,SRMLinkAnalytics,118,iVarSwap_105d,Float,,Interpolated 105 day integrated surface variance,
LiveIVarSwapFixedTerm,SRMLinkAnalytics,121,iVarSwap_126d,Float,,Interpolated 126 day integrated surface variance,
LiveIVarSwapFixedTerm,SRMLinkAnalytics,124,iVarSwap_189d,Float,,Interpolated 189 day integrated surface variance,
LiveIVarSwapFixedTerm,SRMLinkAnalytics,127,iVarSwap_252d,Float,,Interpolated 252 day integrated surface variance,
LiveIVarSwapFixedTerm,SRMLinkAnalytics,130,iVarSwap_378d,Float,,Interpolated 378 day integrated surface variance,
LiveIVarSwapFixedTerm,SRMLinkAnalytics,133,iVarSwap_504d,Float,,Interpolated 504 day integrated surface variance,
LiveIVarSwapFixedTerm,SRMLinkAnalytics,136,status,Enum,"None,Normal,Closed",,
LiveIVarSwapFixedTerm,SRMLinkAnalytics,139,time,TimeSpan,,,
LiveIVarSwapFixedTerm,SRMLinkAnalytics,142,timestamp,DateTime,,update timestamp,
LiveSurfaceAtm,OptSurface,10,ekey,ExpiryKey,,,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveSurfaceAtm,OptSurface,100,ticker,TickerKey,,underlying stock key that this option expiration attaches to,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveSurfaceAtm,OptSurface,103,fkey,ExpiryKey,,future that this option expiration month written on (if any),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveSurfaceAtm,OptSurface,106,uBid,Double,,underlier bid price,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveSurfaceAtm,OptSurface,109,uAsk,Double,,underlier ask price,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
